crypto,profile,count,crypto_path_median_ms,crypto_path_ci_95_lower,crypto_path_ci_95_upper,network_median_ms,network_ci_95_lower,network_ci_95_upper,end_to_end_median_ms,end_to_end_ci_95_lower,end_to_end_ci_95_upper
X25519MLKEM768,adverse,5000,36660.397012,36316.580434,37255.3522115,52584.7808255,52130.570977,53068.7579866625,162332.3056975,161687.76340637502,163455.68587699998
X25519MLKEM768,stable,5000,1668.8306345,1617.0943644250003,1764.5735365,2380.015358,2296.0035165,2508.360182,7453.3871265,7218.550516,7898.0926015000005
X25519,adverse,5000,36907.4753605,35906.496442,37476.35560916251,52732.484734,51386.18447,53545.81347,164458.22920950002,159989.568429425,166280.451383
X25519,stable,5000,1568.1433124999999,2.586792,1639.620189,2241.267988,24.876911,2340.919298,7155.2863985,30.114714,7304.7604523875
